Entity,origin,emissions_per_kilogram,emissions_per_1000_kilocalories,land_use_per_kilogram,land_use_per_1000_kilocalories,water_scarcity_per_kilogram,water_scarcity_per_1000_kilocalories,water_withdrawals_per_kilogram,water_withdrawals_per_1000_kilocalories
Penne pasta,15,1.6251067503703704,0.6112010740973426,3.7357361029629623,1.5232207976191117,16664.938564404445,6185.897027156503,614.1643332614815,228.52613831394456
Peppers,13,0.9186621428571428,2.7222885361590663,1.2399449999999992,3.675391345946554,32159.961357142853,95310.72885322467,362.9267492857144,1075.5012001073812
Pineapple,12,0.9320080325,1.9394608789621348,1.01530539,2.112082531717341,14274.44631,29680.15481206181,793.0396442,1649.7223982739
Pitta bread,14,0.5635607857142857,0.2542043261736352,1.8040658357142856,0.8056564815329487,4853.897026114286,2189.2857415110493,134.3955014857143,60.98793066990407
Popcorn,15,1.813625906,0.4192108519332099,3.1817772333333334,0.7343156922792996,8631.517364733334,2029.122750500647,316.845053608,72.82340644626908
Poppadoms,15,1.50061802,0.3126517111948461,4.95539256,1.032432033412912,7616.897846,1587.0488101464305,293.5786351333333,61.16503491006035
Porridge (oatmeal),14,1.555169024137931,0.4427356374920254,4.985335013218391,1.414826350437798,8600.315522241379,2432.2949114627827,232.5652970258621,65.33769129696935
Potato croquettes,15,0.7742251222222223,0.362325630954369,1.4070545888888888,0.6578628057156894,2664.93791,1240.2180898738677,71.9184978,33.49692650933654
Potatoes,14,0.2072761620938628,0.2321241284551919,0.804448725631769,0.952186023000824,7340.237185732853,9014.092837483302,80.8085800624549,98.68406956372216
Protein bar,15,3.3728507866666666,1.8967594106800396,11.128268446666668,3.0953558533117804,67106.94949622222,16257.297240999951,1423.9165438488888,346.4416283878542
Protein shake,15,1.7437289185185187,2.9464055354880427,5.642653148148148,3.364558128660939,6877.318103333333,10061.269812685454,322.9014169259259,465.0957227692373
Pumpkin seeds,14,1.3239754169230769,0.3177728569148958,3.336552010769231,0.8165643179057611,7409.417526923078,1811.7001272064,212.6054338307692,52.07794271286852
Quiche,15,4.666832655555556,1.867128173022692,5.589517788888889,2.245895304024468,12242.389093333331,4949.249457140394,455.8618671111111,183.1886312507888
Quinoa,14,1.1386422326086956,0.4096006210790415,3.231874423913044,1.1554588229103977,7388.279832173914,2751.03905013864,210.35475422173917,77.86859840507356
Rapeseed oil,15,3.288695422222222,1.1084640092654208,7.214231961111111,1.0744186501383144,3755.4483977777777,953.220976863308,88.67183560555554,21.872989441717426
Raspberries,12,8.3709720025,24.614977907373135,1.5448360025000003,4.542864209053636,3090.698624000001,9111.996846772408,45.713304,134.69262396994864
Raspberry jam,15,5.107337593055555,3.067139099394902,1.958810109722222,0.9908464399598164,11008.5771725,5004.988650134944,786.81067525,334.3111065730289
Rice,14,3.925909801226994,2.047880252851582,2.9366605355828224,1.6400121506480885,43467.18888476688,22782.53063080949,2114.437865009407,1081.4246582622666
Rice noodles,15,3.411126114285714,1.4360200583480212,2.4880236619047618,1.004569966348495,38578.81926190476,15977.245787853508,1869.5568466190475,780.1869755667116
Shepherd's pie,15,7.737124814285714,5.535570319355741,11.04638827142857,7.903258320429903,2672.6386914285717,1912.2427454704848,74.28052877142856,53.131375962738055
Shortbread biscuits,15,2.223782583333333,0.4295585004535641,3.0729300000000004,0.5948009112762414,9510.628866666668,1851.937230339156,514.0502986666667,99.63099011912306
Sourdough bread,14,0.851167273619632,0.3447473452459472,2.371923044785276,0.9694744759799274,8694.92046395092,3585.2728003463817,248.65015546625767,100.02099987874018
Soy desert,15,1.0872644037037036,1.292242002449495,1.979015255555556,2.356372030225932,2670.49205,3194.765731311578,289.26426044444446,345.79000019676954
Spaghetti,15,1.6460149465648857,0.7668989946019614,3.8149462610687017,1.4519729359464926,13985.7050805687,5735.620544461574,500.9899480885497,196.9505953014039
Spaghetti bolognese,15,7.83470288,4.614566326611547,15.15967888,8.921030733769927,20838.93658,11943.68732062744,844.7613337999999,490.5615029619573
Spinach,13,1.0091279447881063,3.774241391732385,0.9922938889942162,3.355186732409358,11379.193479893987,44369.58773445831,269.9605126595278,950.653371309078
Sponge cake,15,1.8774483782608695,0.4857996500945762,2.395599504347826,0.6232399582924864,9002.760913043478,2352.5738639707547,487.8855319565218,125.80622028075622
Strawberries,12,3.241715,5.180194958001879,3.44723,5.508603768398152,12006.428495,19186.0297260583,349.2011275,558.0163339479477
Strawberry jam,15,2.5966625545454547,1.985822126712109,2.968536572727273,1.5208677737474214,15682.252042454546,7334.324809404236,949.7015981818184,415.7443155727528
Sugar,15,1.851685668181818,0.4649769212047688,2.153669372727273,0.539468560767948,11123.746327272727,2786.4508385283034,1202.390047272727,302.08063519845774
Sunflower oil,16,3.6613972142857145,0.4245406921212547,19.461267114285715,2.25705277042866,1279.4895827857144,148.53489142523645,23.193771392857144,2.689366169311192
Sunflower seeds,16,1.9344241125,0.3240774224002641,10.97975300625,1.8390147241495896,812.8472519375,135.33197004597338,14.26395734375,2.3824043948677667
Sweetcorn,13,0.9712034777777776,1.2893299815595625,2.082797161904762,2.752130483385002,7993.130957301588,10685.372547461398,157.23502601587302,208.98261275144583
Tofu,16,1.0208654566666666,0.5425097650945467,3.0348171733333333,2.1298532582871927,1032.4459432366666,472.5427813052676,31.183341956666663,14.292015101388992
Tomato ketchup,15,2.609794211941467,2.37888922388229,1.667763272560234,1.352345231820396,9008.075734236276,7985.7232514543475,494.9507034273989,464.84608876063743
Tomatoes,13,2.271515456192983,11.728078966099202,0.8890183432280702,4.59135204963094,4959.105277929035,25583.60051960925,291.66502367098246,1505.6961809218342
Tortilla wraps,14,0.9485836666666668,0.393647572438285,2.2561128055555555,0.9792290052923316,8711.003174444446,3648.956959475358,231.8360277777778,98.88137842310464
Vegan pizza,15,1.948103649147688,1.1761882005003823,2.0462173942128974,1.269905557727682,10612.184940256871,6462.250008039561,293.8913807509125,179.7528666037719
Vegetable lasagne,15,3.3761406499999995,2.679670932386439,4.149298441666667,3.312006556474597,11075.302178333332,8836.892469389537,382.99411375,304.57562370161565
Vegetarian curry,15,1.3091650341463414,1.3337696510024175,2.275063980487805,2.292283373588192,13161.39969902439,13735.8014485609,374.7971273170732,375.37567243233497
Vegetarian pizza,15,5.232975720133187,1.8916348058491657,6.520732042668087,2.381732503887132,14237.87038094407,5440.2529592198,579.2531132803676,215.28213829382184
Walnuts,16,2.4163077789473686,0.4095802359285577,11.875851828947368,1.924057074048142,160556.43612526316,26311.929414925515,3458.072291255263,563.9028450983708
Watermelon,12,0.96940275,2.4640874080440978,1.0098785,2.6167709902281424,13528.7474105,35695.620909027675,743.3134685,1971.2602764364856
